subject,condition,stickers_n,env_n,gender,age_months,age_years,age_groups,subjects_env,l_env,r_env,stickers_given,pct_given,given,l_env_n,l_env_pct,s_env_n,s_env_pct
1,1,1,1,1,36,3,1,7,5,NA,5,0.42,1,NA,NA,NA,NA
2,1,1,1,2,36,3,1,12,0,NA,0,0,0,NA,NA,NA,NA
3,1,1,1,2,36,3,1,4,8,NA,8,0.67,1,NA,NA,NA,NA
4,1,1,1,1,36,3,1,7,5,NA,5,0.42,1,NA,NA,NA,NA
5,1,1,1,2,36,3,1,12,0,NA,0,0,0,NA,NA,NA,NA
6,1,1,1,2,36,3,1,8,4,NA,4,0.33,1,NA,NA,NA,NA
7,2,1,2,1,36,3,1,8,2,2,4,0.33,1,2,0.5,2,0.5
8,2,1,2,2,36,3,1,11,1,0,1,0.08,1,1,1,0,0
9,3,2,1,2,36,3,1,26,4,NA,4,0.13,1,NA,NA,NA,NA
10,3,2,1,2,36,3,1,30,0,NA,0,0,0,NA,NA,NA,NA
11,3,2,1,2,36,3,1,12,18,NA,18,0.6,1,NA,NA,NA,NA
12,3,2,1,1,36,3,1,12,18,NA,18,0.6,1,NA,NA,NA,NA
13,3,2,1,1,36,3,1,30,0,NA,0,0,0,NA,NA,NA,NA
14,4,2,2,1,36,3,1,19,11,5,16,0.53,1,11,0.6875,5,0.3125
15,4,2,2,2,36,3,1,23,6,1,7,0.23,1,6,0.857142857142857,1,0.142857142857143
16,4,2,2,1,36,3,1,13,10,7,17,0.57,1,10,0.588235294117647,7,0.411764705882353
17,4,2,2,1,36,3,1,15,15,0,15,0.5,1,15,1,0,0
18,3,2,1,1,37,3,1,22,10,NA,10,0.33,1,NA,NA,NA,NA
19,3,2,1,2,37,3,1,10,20,NA,20,0.67,1,NA,NA,NA,NA
20,4,2,2,2,38,3,1,19,5,6,11,0.37,1,6,0.545454545454545,5,0.454545454545455
21,2,1,2,2,39,3,1,11,1,0,1,0.08,1,1,1,0,0
22,2,1,2,2,39,3,1,12,0,0,0,0,0,NA,NA,NA,NA
23,2,1,2,2,39,3,1,10,2,0,2,0.17,1,2,1,0,0
24,3,2,1,2,39,3,1,30,0,NA,0,0,0,NA,NA,NA,NA
25,4,2,2,1,39,3,1,30,0,0,0,0,0,NA,NA,NA,NA
26,1,1,1,1,40,3,1,11,1,NA,1,0.08,1,NA,NA,NA,NA
27,2,1,2,1,40,3,1,12,0,0,0,0,0,NA,NA,NA,NA
28,2,1,2,2,40,3,1,6,3,3,6,0.5,1,3,0.5,3,0.5
29,3,2,1,2,40,3,1,26,4,NA,4,0.13,1,NA,NA,NA,NA
30,3,2,1,1,40,3,1,22,8,NA,8,0.27,1,NA,NA,NA,NA
31,3,2,1,2,40,3,1,21,9,NA,9,0.3,1,NA,NA,NA,NA
32,1,1,1,1,41,3,1,9,3,NA,3,0.25,1,NA,NA,NA,NA
33,2,1,2,1,41,3,1,4,4,4,8,0.67,1,4,0.5,4,0.5
34,4,2,2,1,41,3,1,11,9,10,19,0.63,1,10,0.526315789473684,9,0.473684210526316
35,4,2,2,2,41,3,1,30,0,0,0,0,0,NA,NA,NA,NA
36,2,1,2,1,42,3,1,11,1,0,1,0.08,1,1,1,0,0
37,4,2,2,1,42,3,1,25,3,2,5,0.17,1,3,0.6,2,0.4
38,2,1,2,2,43,3,1,12,0,0,0,0,0,NA,NA,NA,NA
39,4,2,2,2,43,3,1,13,11,6,17,0.57,1,11,0.647058823529412,6,0.352941176470588
40,2,1,2,2,44,3,1,12,0,0,0,0,0,NA,NA,NA,NA
41,1,1,1,1,45,3,1,6,6,NA,6,0.5,1,NA,NA,NA,NA
42,2,1,2,1,45,3,1,11,1,0,1,0.08,1,1,1,0,0
43,3,2,1,1,45,3,1,30,0,NA,0,0,0,NA,NA,NA,NA
44,4,2,2,2,45,3,1,12,18,0,18,0.6,1,18,1,0,0
45,4,2,2,1,45,3,1,19,7,4,11,0.37,1,7,0.636363636363636,4,0.363636363636364
46,1,1,1,1,46,3,1,4,8,NA,8,0.67,1,NA,NA,NA,NA
47,2,1,2,2,46,3,1,9,2,1,3,0.25,1,2,0.666666666666667,1,0.333333333333333
48,3,2,1,1,46,3,1,16,14,NA,14,0.47,1,NA,NA,NA,NA
49,3,2,1,2,46,3,1,11,19,NA,19,0.63,1,NA,NA,NA,NA
50,4,2,2,1,46,3,1,25,4,1,5,0.17,1,4,0.8,1,0.2
51,1,1,1,1,47,3,1,6,6,NA,6,0.5,1,NA,NA,NA,NA
52,3,2,1,2,47,3,1,28,2,NA,2,0.07000000000000001,1,NA,NA,NA,NA
53,1,1,1,1,48,4,1,8,4,NA,4,0.33,1,NA,NA,NA,NA
54,1,1,1,1,48,4,1,6,6,NA,6,0.5,1,NA,NA,NA,NA
55,1,1,1,2,48,4,1,7,5,NA,5,0.42,1,NA,NA,NA,NA
56,1,1,1,2,48,4,1,4,8,NA,8,0.67,1,NA,NA,NA,NA
57,1,1,1,1,48,4,1,12,0,NA,0,0,0,NA,NA,NA,NA
58,1,1,1,1,48,4,1,10,2,NA,2,0.17,1,NA,NA,NA,NA
59,2,1,2,1,48,4,1,6,3,3,6,0.5,1,3,0.5,3,0.5
60,2,1,2,1,48,4,1,10,2,0,2,0.17,1,2,1,0,0
61,2,1,2,2,48,4,1,10,1,1,2,0.17,1,1,0.5,1,0.5
62,3,2,1,1,48,4,1,23,7,NA,7,0.23,1,NA,NA,NA,NA
63,3,2,1,1,48,4,1,30,0,NA,0,0,0,NA,NA,NA,NA
64,3,2,1,2,48,4,1,30,0,NA,0,0,0,NA,NA,NA,NA
65,3,2,1,2,48,4,1,30,0,NA,0,0,0,NA,NA,NA,NA
66,3,2,1,1,48,4,1,27,3,NA,3,0.1,1,NA,NA,NA,NA
67,3,2,1,1,48,4,1,8,22,NA,22,0.73,1,NA,NA,NA,NA
68,4,2,2,2,48,4,1,28,1,1,2,0.07000000000000001,1,1,0.5,1,0.5
69,4,2,2,1,48,4,1,14,16,0,16,0.53,1,16,1,0,0
70,3,2,1,1,49,4,1,22,8,NA,8,0.27,1,NA,NA,NA,NA
71,3,2,1,1,49,4,1,30,0,NA,0,0,0,NA,NA,NA,NA
72,4,2,2,1,49,4,1,10,12,8,20,0.67,1,12,0.6,8,0.4
73,4,2,2,2,49,4,1,19,5,6,11,0.37,1,6,0.545454545454545,5,0.454545454545455
74,4,2,2,2,49,4,1,30,0,0,0,0,0,NA,NA,NA,NA
75,4,2,2,1,49,4,1,30,0,0,0,0,0,NA,NA,NA,NA
76,1,1,1,1,50,4,1,4,8,NA,8,0.67,1,NA,NA,NA,NA
77,2,1,2,1,50,4,1,6,6,0,6,0.5,1,6,1,0,0
78,3,2,1,1,50,4,1,14,16,NA,16,0.53,1,NA,NA,NA,NA
79,1,1,1,2,51,4,1,5,5,NA,5,0.42,1,NA,NA,NA,NA
80,1,1,1,2,51,4,1,12,0,NA,0,0,0,NA,NA,NA,NA
81,2,1,2,2,52,4,1,8,2,2,4,0.33,1,2,0.5,2,0.5
82,3,2,1,2,52,4,1,30,0,NA,0,0,0,NA,NA,NA,NA
83,3,2,1,1,52,4,1,15,15,NA,15,0.5,1,NA,NA,NA,NA
84,3,2,1,1,52,4,1,30,0,NA,0,0,0,NA,NA,NA,NA
85,4,2,2,2,52,4,1,14,8,8,16,0.53,1,8,0.5,8,0.5
86,1,1,1,1,53,4,1,12,0,NA,0,0,0,NA,NA,NA,NA
87,3,2,1,1,53,4,1,21,9,NA,9,0.3,1,NA,NA,NA,NA
88,3,2,1,2,53,4,1,30,0,NA,0,0,0,NA,NA,NA,NA
89,4,2,2,2,53,4,1,30,0,0,0,0,0,NA,NA,NA,NA
90,1,1,1,2,54,4,1,11,1,NA,1,0.08,1,NA,NA,NA,NA
91,1,1,1,2,54,4,1,12,0,NA,0,0,0,NA,NA,NA,NA
92,2,1,2,1,54,4,1,6,3,3,6,0.5,1,3,0.5,3,0.5
93,2,1,2,2,55,4,1,12,0,0,0,0,0,NA,NA,NA,NA
94,2,1,2,1,55,4,1,5,4,3,7,0.58,1,4,0.571428571428571,3,0.428571428571429
95,2,1,2,1,55,4,1,4,6,2,8,0.67,1,6,0.75,2,0.25
96,4,2,2,1,55,4,1,17,4,9,13,0.43,1,9,0.692307692307692,4,0.307692307692308
97,2,1,2,1,56,4,1,12,0,0,0,0,0,NA,NA,NA,NA
98,2,1,2,2,56,4,1,4,4,4,8,0.67,1,4,0.5,4,0.5
99,2,1,2,2,56,4,1,8,4,0,4,0.33,1,4,1,0,0
100,2,1,2,1,56,4,1,4,4,4,8,0.67,1,4,0.5,4,0.5
101,2,1,2,2,56,4,1,7,2,3,5,0.42,1,3,0.6,2,0.4
102,3,2,1,1,56,4,1,30,0,NA,0,0,0,NA,NA,NA,NA
103,3,2,1,1,56,4,1,30,0,NA,0,0,0,NA,NA,NA,NA
104,4,2,2,1,56,4,1,30,0,0,0,0,0,NA,NA,NA,NA
105,3,2,1,2,57,4,1,24,6,NA,6,0.2,1,NA,NA,NA,NA
106,2,1,2,1,58,4,1,7,3,2,5,0.42,1,3,0.6,2,0.4
107,3,2,1,1,58,4,1,22,8,NA,8,0.27,1,NA,NA,NA,NA
108,3,2,1,2,58,4,1,13,17,NA,17,0.57,1,NA,NA,NA,NA
109,1,1,1,1,59,4,1,6,6,NA,6,0.5,1,NA,NA,NA,NA
110,2,1,2,2,59,4,1,6,2,4,6,0.5,1,4,0.666666666666667,2,0.333333333333333
111,4,2,2,1,59,4,1,15,11,4,15,0.5,1,11,0.7333333333333329,4,0.266666666666667
112,1,1,1,2,60,5,2,9,3,NA,3,0.25,1,NA,NA,NA,NA
113,1,1,1,2,60,5,2,7,5,NA,5,0.42,1,NA,NA,NA,NA
114,1,1,1,1,60,5,2,12,0,NA,0,0,0,NA,NA,NA,NA
115,1,1,1,2,60,5,2,9,3,NA,3,0.25,1,NA,NA,NA,NA
116,1,1,1,1,60,5,2,6,6,NA,6,0.5,1,NA,NA,NA,NA
117,2,1,2,2,60,5,2,2,4,6,10,0.83,1,6,0.6,4,0.4
118,2,1,2,1,60,5,2,7,5,0,5,0.42,1,5,1,0,0
119,2,1,2,2,60,5,2,11,1,0,1,0.08,1,1,1,0,0
120,2,1,2,2,60,5,2,3,5,4,9,0.75,1,5,0.555555555555556,4,0.444444444444444
121,2,1,2,2,60,5,2,3,8,1,9,0.75,1,8,0.888888888888889,1,0.111111111111111
122,3,2,1,2,60,5,2,20,10,NA,10,0.33,1,NA,NA,NA,NA
123,4,2,2,1,60,5,2,18,6,6,12,0.4,1,6,0.5,6,0.5
124,2,1,2,2,60,5,2,12,0,0,0,0,0,NA,NA,NA,NA
125,2,1,2,1,60,5,2,8,2,2,4,0.333333333333333,1,2,0.5,2,0.5
126,1,1,1,1,61,5,2,6,6,NA,6,0.5,1,NA,NA,NA,NA
127,3,2,1,1,61,5,2,16,14,NA,14,0.47,1,NA,NA,NA,NA
128,3,2,1,1,61,5,2,23,7,NA,7,0.23,1,NA,NA,NA,NA
129,3,2,1,2,61,5,2,28,2,NA,2,0.07000000000000001,1,NA,NA,NA,NA
130,3,2,1,1,61,5,2,30,0,NA,0,0,0,NA,NA,NA,NA
131,3,2,1,1,62,5,2,22,8,NA,8,0.27,1,NA,NA,NA,NA
132,4,2,2,1,62,5,2,30,0,0,0,0,0,NA,NA,NA,NA
133,3,2,1,1,62,5,2,15,15,NA,15,0.5,1,NA,NA,NA,NA
134,2,1,2,2,62,5,2,3,7,2,9,0.75,1,7,0.777777777777778,2,0.222222222222222
135,1,1,1,2,62,5,2,12,0,NA,0,0,0,NA,NA,NA,NA
136,1,1,1,1,63,5,2,12,0,NA,0,0,0,NA,NA,NA,NA
137,1,1,1,1,63,5,2,10,2,NA,2,0.17,1,NA,NA,NA,NA
138,1,1,1,1,63,5,2,6,6,NA,6,0.5,1,NA,NA,NA,NA
139,2,1,2,1,63,5,2,6,3,3,6,0.5,1,3,0.5,3,0.5
140,4,2,2,1,63,5,2,11,10,9,19,0.63,1,10,0.526315789473684,9,0.473684210526316
141,4,2,2,2,63,5,2,17,7,6,13,0.43,1,7,0.538461538461538,6,0.461538461538462
142,3,2,1,1,63,5,2,17,13,NA,13,0.433333333333333,1,NA,NA,NA,NA
143,1,1,1,1,64,5,2,7,5,NA,5,0.42,1,NA,NA,NA,NA
144,2,1,2,2,64,5,2,12,0,0,0,0,0,NA,NA,NA,NA
145,2,1,2,2,64,5,2,6,3,3,6,0.5,1,3,0.5,3,0.5
146,3,2,1,1,64,5,2,29,1,NA,1,0.03,1,NA,NA,NA,NA
147,3,2,1,2,64,5,2,23,7,NA,7,0.23,1,NA,NA,NA,NA
148,4,2,2,1,64,5,2,15,8,7,15,0.5,1,8,0.533333333333333,7,0.466666666666667
149,1,1,1,2,64,5,2,4,8,NA,8,0.666666666666667,1,NA,NA,NA,NA
150,1,1,1,1,65,5,2,12,0,NA,0,0,0,NA,NA,NA,NA
151,1,1,1,1,65,5,2,7,5,NA,5,0.42,1,NA,NA,NA,NA
152,2,1,2,2,65,5,2,12,0,0,0,0,0,NA,NA,NA,NA
153,2,1,2,2,65,5,2,12,0,0,0,0,0,NA,NA,NA,NA
154,3,2,1,1,65,5,2,21,9,NA,9,0.3,1,NA,NA,NA,NA
155,3,2,1,2,65,5,2,23,7,NA,7,0.23,1,NA,NA,NA,NA
156,4,2,2,2,65,5,2,15,8,7,15,0.5,1,8,0.533333333333333,7,0.466666666666667
157,4,2,2,2,65,5,2,30,0,0,0,0,0,NA,NA,NA,NA
158,4,2,2,1,65,5,2,7,14,9,23,0.7666666666666671,1,14,0.608695652173913,9,0.391304347826087
159,1,1,1,1,66,5,2,12,0,NA,0,0,0,NA,NA,NA,NA
160,1,1,1,1,66,5,2,7,5,NA,5,0.42,1,NA,NA,NA,NA
161,3,2,1,2,66,5,2,30,0,NA,0,0,0,NA,NA,NA,NA
162,3,2,1,1,66,5,2,23,7,NA,7,0.233333333333333,1,NA,NA,NA,NA
163,1,1,1,1,66,5,2,12,0,NA,0,0,0,NA,NA,NA,NA
164,3,2,1,1,67,5,2,30,0,NA,0,0,0,NA,NA,NA,NA
165,2,1,2,2,68,5,2,6,3,3,6,0.5,1,3,0.5,3,0.5
166,3,2,1,2,68,5,2,12,18,NA,18,0.6,1,NA,NA,NA,NA
167,4,2,2,2,68,5,2,26,2,2,4,0.13,1,2,0.5,2,0.5
168,4,2,2,1,68,5,2,16,9,5,14,0.47,1,9,0.642857142857143,5,0.357142857142857
169,1,1,1,1,69,5,2,9,3,NA,3,0.25,1,NA,NA,NA,NA
170,2,1,2,1,69,5,2,6,4,2,6,0.5,1,4,0.666666666666667,2,0.333333333333333
171,3,2,1,2,69,5,2,30,0,NA,0,0,0,NA,NA,NA,NA
172,3,2,1,1,69,5,2,30,0,NA,0,0,0,NA,NA,NA,NA
173,3,2,1,2,69,5,2,22,8,NA,8,0.27,1,NA,NA,NA,NA
174,4,2,2,1,69,5,2,11,19,0,19,0.63,1,19,1,0,0
175,2,1,2,1,70,5,2,4,4,4,8,0.67,1,4,0.5,4,0.5
176,2,1,2,2,70,5,2,6,3,3,6,0.5,1,3,0.5,3,0.5
177,4,2,2,1,70,5,2,10,8,12,20,0.67,1,12,0.6,8,0.4
178,4,2,2,1,70,5,2,14,8,8,16,0.53,1,8,0.5,8,0.5
179,4,2,2,2,70,5,2,5,10,15,25,0.83,1,15,0.6,10,0.4
180,4,2,2,1,70,5,2,28,1,1,2,0.06666666666666669,1,1,0.5,1,0.5
181,3,2,1,2,70,5,2,30,0,NA,0,0,0,NA,NA,NA,NA
182,4,2,2,2,70,5,2,11,9,10,19,0.633333333333333,1,10,0.526315789473684,9,0.473684210526316
183,1,1,1,2,70,5,2,12,0,NA,0,0,0,NA,NA,NA,NA
184,2,1,2,1,71,5,2,8,1,3,4,0.33,1,3,0.75,1,0.25
185,4,2,2,1,71,5,2,15,15,NA,15,0.5,1,NA,NA,NA,NA
186,2,1,2,1,72,6,2,9,1,2,3,0.25,1,2,0.666666666666667,1,0.333333333333333
187,2,1,2,1,72,6,2,4,4,4,8,0.67,1,4,0.5,4,0.5
188,2,1,2,1,72,6,2,6,2,4,6,0.5,1,4,0.666666666666667,2,0.333333333333333
189,3,2,1,1,72,6,2,23,7,NA,7,0.23,1,NA,NA,NA,NA
190,3,2,1,1,72,6,2,30,0,NA,0,0,0,NA,NA,NA,NA
191,3,2,1,2,72,6,2,29,1,NA,1,0.03,1,NA,NA,NA,NA
192,4,2,2,2,72,6,2,30,0,0,0,0,0,NA,NA,NA,NA
193,4,2,2,1,72,6,2,10,10,10,20,0.67,1,10,0.5,10,0.5
194,4,2,2,1,72,6,2,19,5,6,11,0.366666666666667,1,6,0.545454545454545,5,0.454545454545455
195,3,2,1,2,73,6,2,19,11,NA,11,0.37,1,NA,NA,NA,NA
196,4,2,2,1,73,6,2,28,1,1,2,0.07000000000000001,1,1,0.5,1,0.5
197,1,1,1,1,73,6,2,10,2,NA,2,0.166666666666667,1,NA,NA,NA,NA
198,4,2,2,2,73,6,2,18,7,5,12,0.4,1,7,0.583333333333333,5,0.416666666666667
199,1,1,1,1,74,6,2,8,4,NA,4,0.33,1,NA,NA,NA,NA
200,4,2,2,2,74,6,2,30,0,0,0,0,0,NA,NA,NA,NA
201,4,2,2,1,74,6,2,28,2,0,2,0.07000000000000001,1,2,1,0,0
202,3,2,1,2,74,6,2,14,16,NA,16,0.533333333333333,1,NA,NA,NA,NA
203,3,2,1,2,74,6,2,10,20,NA,20,0.666666666666667,1,NA,NA,NA,NA
204,1,1,1,2,77,6,2,5,7,NA,7,0.583333333333333,1,NA,NA,NA,NA
205,1,1,1,1,78,6,2,6,6,NA,6,0.5,1,NA,NA,NA,NA
206,1,1,1,1,78,6,2,6,6,NA,6,0.5,1,NA,NA,NA,NA
207,1,1,1,1,78,6,2,7,5,NA,5,0.416666666666667,1,NA,NA,NA,NA
