subject,condition,stickers_n,env_n,gender,age_months,age_years,age_groups,subjects_env,l_env,r_env,stickers_given,pct_given,given,l_env_n,l_env_pct,s_env_n,s_env_pct
208,2,1,2,2,78,6,2,6,6,0,6,0.5,1,6,1,0,0
209,2,1,2,2,78,6,2,6,3,3,6,0.5,1,3,0.5,3,0.5
210,2,1,2,1,78,6,2,10,1,1,2,0.166666666666667,1,1,0.5,1,0.5
211,2,1,2,1,78,6,2,10,1,1,2,0.166666666666667,1,1,0.5,1,0.5
212,1,1,1,1,79,6,2,6,6,NA,6,0.5,1,NA,NA,NA,NA
213,2,1,2,1,79,6,2,4,4,4,8,0.67,1,4,0.5,4,0.5
214,2,1,2,2,79,6,2,6,3,3,6,0.5,1,3,0.5,3,0.5
215,3,2,1,2,79,6,2,28,2,0,2,0.06666666666666669,1,2,1,0,0
216,4,2,2,1,80,6,2,28,1,1,2,0.07000000000000001,1,1,0.5,1,0.5
217,2,1,2,2,81,6,2,10,2,0,2,0.17,1,2,1,0,0
218,2,1,2,2,81,6,2,4,4,4,8,0.67,1,4,0.5,4,0.5
219,3,2,1,2,81,6,2,9,21,NA,21,0.7,0,NA,NA,NA,NA
220,1,1,1,1,82,6,2,12,0,NA,0,0,0,NA,NA,NA,NA
221,1,1,1,2,82,6,2,9,3,NA,3,0.25,1,NA,NA,NA,NA
222,3,2,1,2,82,6,2,5,25,NA,25,0.83,1,NA,NA,NA,NA
223,1,1,1,2,82,6,2,6,6,NA,6,0.5,1,NA,NA,NA,NA
224,2,1,2,2,82,6,2,5,4,3,7,0.583333333333333,1,4,0.571428571428571,3,0.428571428571429
225,2,1,2,1,83,6,2,12,0,0,0,0,0,NA,NA,NA,NA
226,3,2,1,2,83,6,2,18,12,NA,12,0.4,1,NA,NA,NA,NA
227,1,1,1,1,84,7,3,6,6,NA,6,0.5,1,NA,NA,NA,NA
228,1,1,1,1,84,7,3,12,0,NA,0,0,0,NA,NA,NA,NA
229,4,2,2,1,84,7,3,26,2,2,4,0.13,1,2,0.5,2,0.5
230,4,2,2,1,84,7,3,26,2,2,4,0.13,1,2,0.5,2,0.5
231,2,1,2,2,84,7,3,1,0,11,11,0.916666666666667,1,11,1,0,0
232,2,1,2,1,85,7,3,8,2,2,4,0.33,1,2,0.5,2,0.5
233,3,2,1,1,85,7,3,22,8,NA,8,0.27,1,NA,NA,NA,NA
234,2,1,2,2,85,7,3,2,5,5,10,0.833333333333333,1,5,0.5,5,0.5
235,3,2,1,1,85,7,3,22,8,NA,8,0.266666666666667,1,NA,NA,NA,NA
236,1,1,1,1,85,7,3,12,0,NA,0,0,0,NA,NA,NA,NA
237,3,2,1,1,86,7,3,15,15,NA,15,0.5,1,NA,NA,NA,NA
238,3,2,1,1,86,7,3,17,13,NA,13,0.43,1,NA,NA,NA,NA
239,3,2,1,1,86,7,3,16,14,NA,14,0.47,1,NA,NA,NA,NA
240,4,2,2,1,86,7,3,16,7,7,14,0.47,1,7,0.5,7,0.5
241,2,1,2,2,86,7,3,4,4,4,8,0.666666666666667,1,4,0.5,4,0.5
242,1,1,1,1,87,7,3,6,6,NA,6,0.5,1,NA,NA,NA,NA
243,1,1,1,1,87,7,3,6,6,NA,6,0.5,1,NA,NA,NA,NA
244,2,1,2,1,87,7,3,9,2,1,3,0.25,1,2,0.666666666666667,1,0.333333333333333
245,3,2,1,1,87,7,3,15,15,NA,15,0.5,1,NA,NA,NA,NA
246,4,2,2,1,87,7,3,13,9,8,17,0.566666666666667,1,9,0.529411764705882,8,0.470588235294118
247,3,2,1,2,87,7,3,22,8,NA,8,0.266666666666667,1,NA,NA,NA,NA
248,3,2,1,1,88,7,3,18,12,NA,12,0.4,1,NA,NA,NA,NA
249,1,1,1,2,89,7,3,6,6,NA,6,0.5,1,NA,NA,NA,NA
250,1,1,1,2,89,7,3,10,2,NA,2,0.17,1,NA,NA,NA,NA
251,1,1,1,2,89,7,3,9,3,NA,3,0.25,1,NA,NA,NA,NA
252,2,1,2,1,89,7,3,6,3,3,6,0.5,1,3,0.5,3,0.5
253,2,1,2,1,89,7,3,30,0,0,0,0,0,NA,NA,NA,NA
254,1,1,1,2,90,7,3,6,6,NA,6,0.5,1,NA,NA,NA,NA
255,1,1,1,2,90,7,3,6,6,NA,6,0.5,1,NA,NA,NA,NA
256,4,2,2,2,90,7,3,12,6,12,18,0.6,1,12,0.666666666666667,6,0.333333333333333
257,4,2,2,1,90,7,3,22,8,0,8,0.27,1,8,1,0,0
258,2,1,2,1,90,7,3,6,3,3,6,0.5,1,3,0.5,3,0.5
259,1,1,1,3,90,7,3,8,4,NA,4,0.333333333333333,1,NA,NA,NA,NA
260,2,1,2,2,90,7,3,8,2,2,4,0.333333333333333,1,2,0.5,2,0.5
261,4,2,2,2,91,7,3,9,13,8,21,0.7,1,13,0.619047619047619,8,0.380952380952381
262,1,1,1,1,91,7,3,7,5,NA,5,0.416666666666667,1,NA,NA,NA,NA
263,1,1,1,2,91,7,3,8,22,NA,22,1.83333333333333,1,NA,NA,NA,NA
264,3,2,1,2,91,7,3,5,25,NA,25,0.833333333333333,1,NA,NA,NA,NA
265,1,1,1,1,92,7,3,6,6,NA,6,0.5,1,NA,NA,NA,NA
266,1,1,1,1,92,7,3,12,0,NA,0,0,0,NA,NA,NA,NA
267,4,2,2,2,92,7,3,30,0,0,0,0,0,NA,NA,NA,NA
268,2,1,2,2,92,7,3,6,3,3,6,0.5,1,6,0.5,6,0.5
269,3,2,1,1,92,7,3,25,5,NA,5,0.166666666666667,1,NA,NA,NA,NA
270,3,2,1,1,92,7,3,11,19,NA,19,0.633333333333333,1,NA,NA,NA,NA
271,2,1,2,2,92,7,3,4,8,0,8,0.666666666666667,1,8,1,0,0
272,2,1,2,2,93,7,3,6,3,3,6,0.5,1,3,0.5,3,0.5
273,4,2,2,1,93,7,3,0,15,15,30,1,1,15,0.5,15,0.5
274,4,2,2,1,93,7,3,11,12,7,19,0.63,1,12,0.631578947368421,7,0.368421052631579
275,3,2,1,2,93,7,3,13,17,NA,17,0.566666666666667,1,NA,NA,NA,NA
276,2,1,2,2,93,7,3,12,0,0,0,0,0,NA,NA,NA,NA
277,4,2,2,1,94,7,3,20,5,5,10,0.33,1,5,0.5,5,0.5
278,2,1,2,2,94,7,3,6,3,3,6,0.5,1,3,0.5,3,0.5
279,3,2,1,2,94,7,3,26,4,NA,4,0.133333333333333,1,NA,NA,NA,NA
280,3,2,1,2,94,7,3,7,10,13,23,0.7666666666666671,1,13,0.565217391304348,10,0.434782608695652
281,3,2,1,2,95,7,3,15,15,NA,15,0.5,1,NA,NA,NA,NA
282,1,1,1,2,95,7,3,6,6,NA,6,0.5,1,NA,NA,NA,NA
283,2,1,2,1,95,7,3,12,0,NA,0,0,0,NA,NA,NA,NA
284,2,1,2,1,95,7,3,4,4,4,8,0.666666666666667,1,4,0.5,4,0.5
285,1,1,1,2,96,8,3,6,6,NA,6,0.5,1,NA,NA,NA,NA
286,1,1,1,1,96,8,3,8,4,NA,4,0.33,1,NA,NA,NA,NA
287,2,1,2,1,96,8,3,6,3,3,6,0.5,1,3,0.5,3,0.5
288,3,2,1,1,96,8,3,17,13,NA,13,0.43,1,NA,NA,NA,NA
289,3,2,1,2,96,8,3,5,25,NA,25,0.833333333333333,1,NA,NA,NA,NA
290,4,2,2,2,96,8,3,11,7,12,19,0.633333333333333,1,12,0.631578947368421,7,0.368421052631579
291,2,1,2,1,97,8,3,6,3,3,6,0.5,1,3,0.5,3,0.5
292,2,1,2,1,97,8,3,4,4,4,8,0.67,1,4,0.5,4,0.5
293,2,1,2,1,97,8,3,6,3,3,6,0.5,1,3,0.5,3,0.5
294,2,1,2,2,97,8,3,1,5,6,11,0.916666666666667,1,6,0.545454545454545,5,0.454545454545455
295,1,1,1,1,98,8,3,6,6,NA,6,0.5,1,NA,NA,NA,NA
296,4,2,2,1,98,8,3,16,7,7,14,0.47,1,7,0.5,7,0.5
297,4,2,2,1,98,8,3,8,22,0,22,0.73,1,22,1,0,0
298,1,1,1,2,98,8,3,5,7,NA,7,0.583333333333333,1,NA,NA,NA,NA
299,3,2,1,2,98,8,3,17,13,NA,13,0.433333333333333,1,NA,NA,NA,NA
300,4,2,2,1,98,8,3,12,9,9,18,0.6,1,9,0.5,9,0.5
301,1,1,1,2,98,8,3,9,3,NA,3,0.25,1,NA,NA,NA,NA
302,4,2,2,1,98,8,3,11,6,13,19,0.633333333333333,1,13,0.684210526315789,6,0.315789473684211
303,2,1,2,1,99,8,3,9,3,0,3,0.25,1,3,1,0,0
304,4,2,2,2,99,8,3,14,13,3,16,0.533333333333333,1,13,0.8125,3,0.1875
305,3,2,1,1,100,8,3,27,3,NA,3,0.1,1,NA,NA,NA,NA
306,1,1,1,1,100,8,3,6,6,NA,6,0.5,1,NA,NA,NA,NA
307,2,1,2,2,100,8,3,10,1,1,2,0.166666666666667,1,1,0.5,1,0.5
308,3,2,1,1,100,8,3,11,19,NA,19,0.633333333333333,1,NA,NA,NA,NA
309,1,1,1,1,100,8,3,5,7,NA,7,0.583333333333333,1,NA,NA,NA,NA
310,1,1,1,1,100,8,3,7,5,NA,5,0.416666666666667,1,NA,NA,NA,NA
311,1,1,1,1,101,8,3,2,10,NA,10,0.83,1,NA,NA,NA,NA
312,2,1,2,2,101,8,3,12,0,0,0,0,0,NA,NA,NA,NA
313,4,2,2,2,101,8,3,6,12,12,24,0.8,1,12,0.5,12,0.5
314,4,2,2,1,101,8,3,10,10,10,20,0.67,1,10,0.5,10,0.5
315,4,2,2,1,101,8,3,8,9,13,22,0.7333333333333329,1,13,0.5909090909090911,9,0.409090909090909
316,2,1,2,1,101,8,3,6,3,3,6,0.5,1,3,0.5,3,0.5
317,4,2,2,1,103,8,3,10,10,10,20,0.666666666666667,1,10,0.5,10,0.5
318,4,2,2,2,104,8,3,3,13,14,27,0.9,1,14,0.518518518518518,13,0.481481481481481
319,1,1,1,1,104,8,3,8,4,NA,4,0.333333333333333,1,NA,NA,NA,NA
320,2,1,2,2,104,8,3,4,3,5,8,0.666666666666667,1,5,0.625,3,0.375
321,3,2,1,1,105,8,3,14,16,NA,16,0.53,1,NA,NA,NA,NA
322,3,2,1,2,105,8,3,23,7,NA,7,0.23,1,NA,NA,NA,NA
323,3,2,1,1,105,8,3,15,15,NA,15,0.5,1,NA,NA,NA,NA
324,1,1,1,1,106,8,3,6,6,NA,6,0.5,1,NA,NA,NA,NA
325,2,1,2,1,106,8,3,12,0,0,0,0,0,NA,NA,NA,NA
326,3,2,1,2,106,8,3,14,16,NA,16,0.533333333333333,1,NA,NA,NA,NA
327,4,2,2,1,106,8,3,30,0,0,0,0,0,NA,NA,NA,NA
328,4,2,2,2,106,8,3,0,20,10,30,1,1,20,0.666666666666667,10,0.333333333333333
329,1,1,1,2,107,8,3,8,4,NA,4,0.33,1,NA,NA,NA,NA
330,3,2,1,1,107,8,3,14,16,NA,16,0.53,1,NA,NA,NA,NA
331,4,2,2,1,107,8,3,30,0,0,0,0,0,NA,NA,NA,NA
332,2,1,2,2,107,8,3,2,5,5,10,0.833333333333333,1,5,0.5,5,0.5
333,1,1,1,2,108,9,4,6,6,NA,6,0.5,1,NA,NA,NA,NA
334,1,1,1,1,108,9,4,4,8,NA,8,0.67,1,NA,NA,NA,NA
335,2,1,2,1,108,9,4,10,1,1,2,0.17,1,1,0.5,1,0.5
336,4,2,2,2,108,9,4,14,9,7,16,0.53,1,9,0.5625,7,0.4375
337,2,1,2,1,108,9,4,6,3,3,6,0.5,1,3,0.5,3,0.5
338,1,1,1,2,108,9,4,3,9,NA,9,0.75,1,NA,NA,NA,NA
339,4,2,2,2,108,9,4,12,6,12,18,0.6,1,12,0.666666666666667,6,0.333333333333333
340,1,1,1,1,109,9,4,7,5,NA,5,0.42,1,NA,NA,NA,NA
341,3,2,1,1,109,9,4,16,14,NA,14,0.47,1,NA,NA,NA,NA
342,3,2,1,1,109,9,4,15,15,NA,15,0.5,1,NA,NA,NA,NA
343,3,2,1,2,110,9,4,15,15,NA,15,0.5,1,NA,NA,NA,NA
344,4,2,2,2,110,9,4,11,12,7,19,0.63,1,12,0.631578947368421,7,0.368421052631579
345,1,1,1,1,110,9,4,6,6,NA,6,0.5,1,NA,NA,NA,NA
346,2,1,2,2,111,9,4,8,2,2,4,0.33,1,2,0.5,2,0.5
347,1,1,1,2,111,9,4,9,3,NA,3,0.25,1,NA,NA,NA,NA
348,3,2,1,1,112,9,4,19,11,NA,11,0.37,1,NA,NA,NA,NA
349,4,2,2,2,112,9,4,13,9,8,17,0.57,1,9,0.529411764705882,8,0.470588235294118
350,3,2,1,1,112,9,4,24,6,NA,6,0.2,1,NA,NA,NA,NA
351,2,1,2,1,112,9,4,5,3,4,7,0.583333333333333,1,4,0.571428571428571,3,0.428571428571429
352,1,1,1,2,113,9,4,9,3,NA,3,0.25,1,NA,NA,NA,NA
353,4,2,2,2,113,9,4,3,13,14,27,0.9,1,14,0.518518518518518,13,0.481481481481481
354,2,1,2,1,113,9,4,4,4,4,8,0.666666666666667,1,4,0.5,4,0.5
355,3,2,1,0,113,9,4,20,10,NA,10,0.333333333333333,1,NA,NA,NA,NA
356,1,1,1,1,113,9,4,6,6,NA,6,0.5,1,NA,NA,NA,NA
357,2,1,2,2,113,9,4,12,0,NA,0,0,0,NA,NA,NA,NA
358,1,1,1,2,114,9,4,1,11,NA,11,0.916666666666667,1,NA,NA,NA,NA
359,2,1,2,1,115,9,4,6,3,3,6,0.5,1,3,0.5,3,0.5
360,2,1,2,1,115,9,4,8,2,2,4,0.333333333333333,1,2,0.5,2,0.5
361,3,2,1,2,116,9,4,30,0,NA,0,0,0,NA,NA,NA,NA
362,1,1,1,1,117,9,4,6,6,NA,6,0.5,1,NA,NA,NA,NA
363,2,1,2,1,117,9,4,6,3,3,6,0.5,1,3,0.5,3,0.5
364,4,2,2,1,117,9,4,11,10,9,19,0.63,1,10,0.526315789473684,9,0.473684210526316
365,3,2,1,2,117,9,4,14,16,NA,16,0.53,1,NA,NA,NA,NA
366,3,2,1,1,117,9,4,9,21,NA,21,0.7,1,NA,NA,NA,NA
367,2,1,2,1,119,9,4,4,4,4,8,0.67,1,4,0.5,4,0.5
368,3,2,1,2,120,10,4,22,8,NA,8,0.27,1,NA,NA,NA,NA
369,3,2,1,1,120,10,4,16,14,NA,14,0.466666666666667,1,NA,NA,NA,NA
370,4,2,1,2,121,10,4,3,5,4,9,0.75,1,5,0.555555555555556,4,0.444444444444444
371,1,1,1,1,122,10,4,11,1,NA,1,0.0833333333333333,1,NA,NA,NA,NA
372,2,1,2,1,123,10,4,5,7,NA,7,0.583333333333333,1,NA,NA,NA,NA
373,4,2,2,2,123,10,4,11,10,9,19,0.633333333333333,1,10,0.526315789473684,9,0.473684210526316
374,3,2,1,1,124,10,4,7,23,NA,23,0.7666666666666671,1,NA,NA,NA,NA
375,4,2,2,1,124,10,4,10,10,10,20,0.666666666666667,1,10,0.5,10,0.5
376,4,2,2,2,124,10,4,10,10,10,20,0.666666666666667,1,10,0.5,10,0.5
377,2,1,2,1,125,10,4,4,4,4,8,0.67,1,4,0.5,4,0.5
378,4,2,2,1,125,10,4,12,9,9,18,0.6,1,9,0.5,9,0.5
379,4,2,2,2,125,10,4,0,15,15,30,1,1,15,0.5,15,0.5
380,4,2,2,2,125,10,4,2,14,14,28,0.933333333333333,1,14,0.5,14,0.5
381,2,1,2,2,126,10,4,4,4,4,8,0.67,1,4,0.5,4,0.5
382,1,1,1,1,127,10,4,6,6,NA,6,0.5,1,NA,NA,NA,NA
383,3,2,1,2,128,10,4,0,30,NA,30,1,1,NA,NA,NA,NA
384,3,2,1,2,129,10,4,0,30,NA,30,1,1,NA,NA,NA,NA
385,2,1,2,1,129,10,4,4,4,4,8,0.666666666666667,1,4,0.5,4,0.5
386,1,1,1,1,129,10,4,8,4,NA,4,0.333333333333333,1,NA,NA,NA,NA
387,3,2,1,2,129,10,4,15,15,NA,15,0.5,1,NA,NA,NA,NA
388,3,2,1,1,131,10,4,18,12,NA,12,0.4,1,NA,NA,NA,NA
389,2,1,2,1,131,10,4,4,4,4,8,0.666666666666667,1,4,0.5,4,0.5
390,1,1,1,2,132,11,4,7,5,NA,5,0.42,1,NA,NA,NA,NA
391,4,2,2,2,133,11,4,0,15,15,30,1,1,15,0.5,15,0.5
392,4,2,2,2,134,11,4,2,17,11,28,0.93,1,17,0.607142857142857,11,0.392857142857143
393,2,1,2,2,134,11,4,3,4,5,9,0.75,1,5,0.555555555555556,4,0.444444444444444
394,4,2,2,2,135,11,4,10,10,10,20,0.67,1,10,0.5,10,0.5
395,4,2,2,1,135,11,4,19,7,4,11,0.37,1,7,0.636363636363636,4,0.363636363636364
396,1,1,1,2,136,11,4,2,10,NA,10,0.83,1,NA,NA,NA,NA
397,4,2,2,1,136,11,4,9,13,8,21,0.7,1,13,0.619047619047619,8,0.380952380952381
398,1,1,1,1,137,11,4,3,9,NA,9,0.75,1,NA,NA,NA,NA
399,1,1,1,2,137,11,4,6,6,NA,6,0.5,1,NA,NA,NA,NA
400,4,2,2,2,139,11,4,30,0,0,0,0,0,NA,NA,NA,NA
401,3,2,1,1,143,11,4,16,14,NA,14,0.466666666666667,1,NA,NA,NA,NA
